Ensembl Gene ID,Gene Start (bp),Gene End (bp),Strand,Chromosome Name,Associated Gene Name,Description
ENSG00000042445,85569211,85581743,-1,2,RETSAT,"retinol saturase (all-trans-retinol 13,14-reductase) [Source:HGNC Symbol;Acc:25991]"
ENSG00000254709,23229960,23238287,1,22,IGLL5,immunoglobulin lambda-like polypeptide 5 [Source:HGNC Symbol;Acc:38476]
ENSG00000130726,59055458,59062089,1,19,TRIM28,tripartite motif containing 28 [Source:HGNC Symbol;Acc:16384]
ENSG00000102226,47092089,47107727,1,X,USP11,ubiquitin specific peptidase 11 [Source:HGNC Symbol;Acc:12609]
ENSG00000106617,151253197,151574210,-1,7,PRKAG2,"protein kinase, AMP-activated, gamma 2 non-catalytic subunit [Source:HGNC Symbol;Acc:9386]"
ENSG00000270316,104614029,104661656,1,10,C10orf32-ASMT,C10orf32-ASMT readthrough (NMD candidate) [Source:HGNC Symbol;Acc:49183]
ENSG00000225556,151810295,151813033,-1,1,C2CD4D,C2 calcium-dependent domain containing 4D [Source:HGNC Symbol;Acc:37210]
ENSG00000104635,22224762,22291642,1,8,SLC39A14,"solute carrier family 39 (zinc transporter), member 14 [Source:HGNC Symbol;Acc:20858]"
ENSG00000166734,44580927,44707956,1,15,CASC4,cancer susceptibility candidate 4 [Source:HGNC Symbol;Acc:24892]
ENSG00000100083,38004481,38029571,1,22,GGA1,"golgi-associated, gamma adaptin ear containing, ARF binding protein 1 [Source:HGNC Symbol;Acc:17842]"
ENSG00000177459,99076539,99105838,1,8,C8orf47,chromosome 8 open reading frame 47 [Source:HGNC Symbol;Acc:26823]
ENSG00000172399,120056939,120108944,1,4,MYOZ2,myozenin 2 [Source:HGNC Symbol;Acc:1330]
ENSG00000163820,45959396,46037316,-1,3,FYCO1,FYVE and coiled-coil domain containing 1 [Source:HGNC Symbol;Acc:14673]
ENSG00000124302,34112861,34264414,1,19,CHST8,carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 8 [Source:HGNC Symbol;Acc:15993]
ENSG00000214435,104629273,104661656,1,10,AS3MT,arsenic (+3 oxidation state) methyltransferase [Source:HGNC Symbol;Acc:17452]
ENSG00000196407,151819739,151826173,-1,1,THEM5,thioesterase superfamily member 5 [Source:HGNC Symbol;Acc:26755]
ENSG00000139133,34175216,34182629,1,12,ALG10,"ALG10, alpha-1,2-glucosyltransferase [Source:HGNC Symbol;Acc:23162]"
ENSG00000050426,51441745,51454207,1,12,LETMD1,LETM1 domain containing 1 [Source:HGNC Symbol;Acc:24241]
ENSG00000103145,3072621,3074287,-1,16,HCFC1R1,host cell factor C1 regulator 1 (XPO1 dependent) [Source:HGNC Symbol;Acc:21198]
ENSG00000269753,2258581,2259042,1,1,AL589739.1,Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0QY59]
ENSG00000198873,120967101,121215131,1,10,GRK5,G protein-coupled receptor kinase 5 [Source:HGNC Symbol;Acc:4544]
ENSG00000178636,120113928,120133799,-1,4,RP11-455G16.1,Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:E7EQP2]
ENSG00000083544,60970591,61148012,1,13,TDRD3,tudor domain containing 3 [Source:HGNC Symbol;Acc:20612]
ENSG00000138772,79472673,79531597,1,4,ANXA3,annexin A3 [Source:HGNC Symbol;Acc:541]
ENSG00000116652,64014588,64015405,1,1,DLEU2L,deleted in lymphocytic leukemia 2-like [Source:HGNC Symbol;Acc:13225]
ENSG00000143771,224544552,224567161,1,1,CNIH4,cornichon family AMPA receptor auxiliary protein 4 [Source:HGNC Symbol;Acc:25013]
ENSG00000236271,30740183,30755207,-1,HSCHR6_MHC_MANN,FLOT1,flotillin 1 [Source:HGNC Symbol;Acc:3757]
ENSG00000125755,46318668,46366548,-1,19,SYMPK,symplekin [Source:HGNC Symbol;Acc:22935]
ENSG00000159445,151846060,151882284,-1,1,THEM4,thioesterase superfamily member 4 [Source:HGNC Symbol;Acc:17947]
ENSG00000157916,2323267,2336883,1,1,RER1,retention in endoplasmic reticulum sorting receptor 1 [Source:HGNC Symbol;Acc:30309]
ENSG00000164808,48173167,48648868,1,8,SPIDR,scaffolding protein involved in DNA repair [Source:HGNC Symbol;Acc:28971]
ENSG00000140320,40731920,40760441,1,15,BAHD1,bromo adjacent homology domain containing 1 [Source:HGNC Symbol;Acc:29153]
ENSG00000153885,34286838,34306668,1,19,KCTD15,potassium channel tetramerization domain containing 15 [Source:HGNC Symbol;Acc:23297]
ENSG00000165304,36572859,36677678,1,9,MELK,maternal embryonic leucine zipper kinase [Source:HGNC Symbol;Acc:16870]
ENSG00000106351,100136834,100165842,1,7,AGFG2,ArfGAP with FG repeats 2 [Source:HGNC Symbol;Acc:5177]
ENSG00000137817,72533522,72565340,-1,15,PARP6,"poly (ADP-ribose) polymerase family, member 6 [Source:HGNC Symbol;Acc:26921]"
ENSG00000145390,120133742,120216672,1,4,USP53,ubiquitin specific peptidase 53 [Source:HGNC Symbol;Acc:29255]
ENSG00000100218,23401593,23487208,-1,22,RTDR1,rhabdoid tumor deletion region gene 1 [Source:HGNC Symbol;Acc:13437]
ENSG00000129351,10764937,10803093,1,19,ILF3,"interleukin enhancer binding factor 3, 90kDa [Source:HGNC Symbol;Acc:6038]"
ENSG00000161203,183892477,183901879,1,3,AP2M1,"adaptor-related protein complex 2, mu 1 subunit [Source:HGNC Symbol;Acc:564]"
ENSG00000079739,64058947,64125916,1,1,PGM1,phosphoglucomutase 1 [Source:HGNC Symbol;Acc:8905]
ENSG00000263711,70818476,70931715,-1,18,RP11-169F17.1,Protein LOC400655  [Source:UniProtKB/TrEMBL;Acc:J3KRU9]
ENSG00000168936,1717679,1723085,-1,4,TMEM129,transmembrane protein 129 [Source:HGNC Symbol;Acc:25137]
ENSG00000181867,121187650,121188519,1,5,FTMT,ferritin mitochondrial [Source:HGNC Symbol;Acc:17345]
ENSG00000166329,55821842,55822673,-1,17,CCDC182,coiled-coil domain containing 182 [Source:HGNC Symbol;Acc:49392]
ENSG00000197747,151955391,151966866,-1,1,S100A10,S100 calcium binding protein A10 [Source:HGNC Symbol;Acc:10487]
ENSG00000072042,68143518,68162531,-1,14,RDH11,retinol dehydrogenase 11 (all-trans/9-cis/11-cis) [Source:HGNC Symbol;Acc:17964]
ENSG00000152229,43563502,43652238,-1,18,PSTPIP2,proline-serine-threonine phosphatase interacting protein 2 [Source:HGNC Symbol;Acc:9581]
ENSG00000151304,121297656,121411265,1,5,SRFBP1,serum response factor binding protein 1 [Source:HGNC Symbol;Acc:26333]
ENSG00000167230,35732928,35749662,1,17,C17orf78,chromosome 17 open reading frame 78 [Source:HGNC Symbol;Acc:26831]
ENSG00000181610,55916842,55927417,-1,17,MRPS23,mitochondrial ribosomal protein S23 [Source:HGNC Symbol;Acc:14509]
ENSG00000147117,47229982,47273704,1,X,ZNF157,zinc finger protein 157 [Source:HGNC Symbol;Acc:12942]
ENSG00000185085,62414320,62420774,-1,11,INTS5,integrator complex subunit 5 [Source:HGNC Symbol;Acc:29352]
ENSG00000101605,3066805,3220106,-1,18,MYOM1,myomesin 1 [Source:HGNC Symbol;Acc:7613]
ENSG00000197991,61983818,62002220,-1,13,PCDH20,protocadherin 20 [Source:HGNC Symbol;Acc:14257]
ENSG00000232013,145782358,145784156,1,3,AC107021.1,HCG1786590; PRO2533; Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:Q9P1D0]
ENSG00000141665,71740588,71815100,-1,18,FBXO15,F-box protein 15 [Source:HGNC Symbol;Acc:13617]
ENSG00000128266,23412540,23467224,1,22,GNAZ,"guanine nucleotide binding protein (G protein), alpha z polypeptide [Source:HGNC Symbol;Acc:4395]"
ENSG00000230128,30755673,30757028,-1,HSCHR6_MHC_MANN,IER3,immediate early response 3 [Source:HGNC Symbol;Acc:5392]
ENSG00000255432,62417166,62432650,-1,11,RP11-831H9.11,Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:E9PLD3]
ENSG00000049883,71616194,71656052,1,5,PTCD2,pentatricopeptide repeat domain 2 [Source:HGNC Symbol;Acc:25734]
ENSG00000131652,3074028,3077756,1,16,THOC6,THO complex 6 homolog (Drosophila) [Source:HGNC Symbol;Acc:28369]
ENSG00000172927,69061605,69182494,1,11,MYEOV,myeloma overexpressed [Source:HGNC Symbol;Acc:7563]
ENSG00000179119,18627948,18656338,-1,11,SPTY2D1,"SPT2, Suppressor of Ty, domain containing 1 (S. cerevisiae) [Source:HGNC Symbol;Acc:26818]"
ENSG00000217236,175199674,175203220,1,2,SP9,Sp9 transcription factor [Source:HGNC Symbol;Acc:30690]
ENSG00000132541,99114572,99129469,-1,8,HRSP12,heat-responsive protein 12 [Source:HGNC Symbol;Acc:16897]
ENSG00000160323,136279478,136324508,1,9,ADAMTS13,"ADAM metallopeptidase with thrombospondin type 1 motif, 13 [Source:HGNC Symbol;Acc:1366]"
ENSG00000268241,175200601,175202151,-1,2,AC018470.1,Uncharacterized protein FLJ46347  [Source:UniProtKB/Swiss-Prot;Acc:Q6ZRH9]
ENSG00000147124,47305278,47342345,-1,X,ZNF41,zinc finger protein 41 [Source:HGNC Symbol;Acc:13107]
ENSG00000163191,152004982,152020383,-1,1,S100A11,S100 calcium binding protein A11 [Source:HGNC Symbol;Acc:10488]
ENSG00000226974,64320934,64321323,1,13,AL445989.1,Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F5H8E9]
ENSG00000134463,11784365,11806069,1,10,ECHDC3,enoyl CoA hydratase domain containing 3 [Source:HGNC Symbol;Acc:23489]
ENSG00000206560,15708743,15901278,-1,3,ANKRD28,ankyrin repeat domain 28 [Source:HGNC Symbol;Acc:29024]
ENSG00000145868,147763498,147822399,1,5,FBXO38,F-box protein 38 [Source:HGNC Symbol;Acc:28844]
ENSG00000162194,62430287,62439727,-1,11,C11orf48,chromosome 11 open reading frame 48 [Source:HGNC Symbol;Acc:28351]
ENSG00000013810,1723227,1746898,1,4,TACC3,"transforming, acidic coiled-coil containing protein 3 [Source:HGNC Symbol;Acc:11524]"
ENSG00000179091,145149930,145152428,1,8,CYC1,cytochrome c-1 [Source:HGNC Symbol;Acc:2579]
ENSG00000089159,120648250,120703574,-1,12,PXN,paxillin [Source:HGNC Symbol;Acc:9718]
ENSG00000108518,4848947,4852356,-1,17,PFN1,profilin 1 [Source:HGNC Symbol;Acc:8881]
ENSG00000138433,175212750,175260443,-1,2,CIR1,"corepressor interacting with RBPJ, 1 [Source:HGNC Symbol;Acc:24217]"
ENSG00000184226,66876967,67804468,-1,13,PCDH9,protocadherin 9 [Source:HGNC Symbol;Acc:8661]
ENSG00000100228,23487513,23506537,1,22,RAB36,"RAB36, member RAS oncogene family [Source:HGNC Symbol;Acc:9775]"
ENSG00000110092,69455855,69469242,1,11,CCND1,cyclin D1 [Source:HGNC Symbol;Acc:1582]
ENSG00000169105,40763160,40765353,1,15,CHST14,carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 14 [Source:HGNC Symbol;Acc:24464]
ENSG00000180891,55938604,56032684,-1,17,CUEDC1,CUE domain containing 1 [Source:HGNC Symbol;Acc:31350]
ENSG00000269302,187111913,187112626,-1,4,AC110771.1,Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0R182]
ENSG00000182898,152056620,152061540,-1,1,TCHHL1,trichohyalin-like 1 [Source:HGNC Symbol;Acc:31796]
ENSG00000162923,224572845,224624735,-1,1,WDR26,WD repeat domain 26 [Source:HGNC Symbol;Acc:21208]
ENSG00000167377,71481500,71496998,-1,16,ZNF23,zinc finger protein 23 [Source:HGNC Symbol;Acc:13023]
ENSG00000151117,18714669,18726332,1,11,TMEM86A,transmembrane protein 86A [Source:HGNC Symbol;Acc:26890]
ENSG00000175548,38710380,38717784,1,12,ALG10B,"ALG10B, alpha-1,2-glucosyltransferase [Source:HGNC Symbol;Acc:31088]"
ENSG00000196741,47342970,47344207,1,X,CXorf24,chromosome X open reading frame 24 [Source:HGNC Symbol;Acc:27333]
ENSG00000145476,187112674,187134610,1,4,CYP4V2,"cytochrome P450, family 4, subfamily V, polypeptide 2 [Source:HGNC Symbol;Acc:23198]"
ENSG00000113083,121398890,121413980,-1,5,LOX,lysyl oxidase [Source:HGNC Symbol;Acc:6664]
ENSG00000204120,233562009,233725285,1,2,GIGYF2,GRB10 interacting GYF protein 2 [Source:HGNC Symbol;Acc:11960]
ENSG00000104356,99129525,99172062,1,8,POP1,"processing of precursor 1, ribonuclease P/MRP subunit (S. cerevisiae) [Source:HGNC Symbol;Acc:30129]"
ENSG00000115194,27476552,27498685,-1,2,SLC30A3,"solute carrier family 30 (zinc transporter), member 3 [Source:HGNC Symbol;Acc:11014]"
ENSG00000155959,154425284,154468098,1,X,VBP1,von Hippel-Lindau binding protein 1 [Source:HGNC Symbol;Acc:12662]
ENSG00000159450,152078793,152086556,-1,1,TCHH,trichohyalin [Source:HGNC Symbol;Acc:11791]
ENSG00000152952,145787227,145881440,-1,3,PLOD2,"procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2 [Source:HGNC Symbol;Acc:9082]"
ENSG00000150361,70274726,70682591,-1,13,KLHL1,kelch-like family member 1 [Source:HGNC Symbol;Acc:6352]
ENSG00000078061,47420516,47431307,1,X,ARAF,v-raf murine sarcoma 3611 viral oncogene homolog [Source:HGNC Symbol;Acc:646]
ENSG00000128891,40820882,40857256,-1,15,C15orf57,chromosome 15 open reading frame 57 [Source:HGNC Symbol;Acc:28295]
ENSG00000185483,64239693,64647181,1,1,ROR1,receptor tyrosine kinase-like orphan receptor 1 [Source:HGNC Symbol;Acc:10256]
ENSG00000179057,18725852,18747777,-1,11,IGSF22,"immunoglobulin superfamily, member 22 [Source:HGNC Symbol;Acc:26750]"
ENSG00000100092,38030661,38062939,1,22,SH3BP1,SH3-domain binding protein 1 [Source:HGNC Symbol;Acc:10824]
ENSG00000215853,152126071,152131704,-1,1,RPTN,repetin [Source:HGNC Symbol;Acc:26809]
ENSG00000186318,117156402,117186975,-1,11,BACE1,beta-site APP-cleaving enzyme 1 [Source:HGNC Symbol;Acc:933]
ENSG00000130724,59062933,59066491,-1,19,CHMP2A,charged multivesicular body protein 2A [Source:HGNC Symbol;Acc:30216]
ENSG00000137770,44719432,44821236,1,15,CTDSPL2,"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase like 2 [Source:HGNC Symbol;Acc:26936]"
ENSG00000131477,40910465,40915059,1,17,RAMP2,receptor (G protein-coupled) activity modifying protein 2 [Source:HGNC Symbol;Acc:9844]
ENSG00000157911,2336236,2345236,-1,1,PEX10,peroxisomal biogenesis factor 10 [Source:HGNC Symbol;Acc:8851]
ENSG00000261869,50316459,50325546,1,HG325_PATCH,LSMEM2,
ENSG00000198822,86273230,86494200,1,7,GRM3,"glutamate receptor, metabotropic 3 [Source:HGNC Symbol;Acc:4595]"
ENSG00000197915,152184558,152196669,-1,1,HRNR,hornerin [Source:HGNC Symbol;Acc:20846]
ENSG00000179526,145153536,145163027,-1,8,SHARPIN,SHANK-associated RH domain interactor [Source:HGNC Symbol;Acc:25321]
ENSG00000109047,9799637,9808938,-1,17,RCVRN,recoverin [Source:HGNC Symbol;Acc:9937]
ENSG00000214756,62432781,62435968,1,11,METTL12,methyltransferase like 12 [Source:HGNC Symbol;Acc:33113]
ENSG00000124664,34505579,34524110,-1,6,SPDEF,SAM pointed domain containing ETS transcription factor [Source:HGNC Symbol;Acc:17257]
ENSG00000120910,22298332,22398652,1,8,PPP3CC,"protein phosphatase 3, catalytic subunit, gamma isozyme [Source:HGNC Symbol;Acc:9316]"
ENSG00000108515,4851387,4860426,1,17,ENO3,"enolase 3 (beta, muscle) [Source:HGNC Symbol;Acc:3354]"
ENSG00000263093,50325164,50330027,-1,HG325_PATCH,IFRD2,interferon-related developmental regulator 2 [Source:HGNC Symbol;Acc:5457]
ENSG00000138756,79697496,79837526,1,4,BMP2K,BMP2 inducible kinase [Source:HGNC Symbol;Acc:18041]
ENSG00000257103,34663409,34720420,1,19,LSM14A,"LSM14A, SCD6 homolog A (S. cerevisiae) [Source:HGNC Symbol;Acc:24489]"
ENSG00000065518,120315156,120321347,1,3,NDUFB4,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 4, 15kDa [Source:HGNC Symbol;Acc:7699]"
ENSG00000177414,64669310,64733051,1,1,UBE2U,ubiquitin-conjugating enzyme E2U (putative) [Source:HGNC Symbol;Acc:28559]
ENSG00000096070,36164521,36200567,1,6,BRPF3,"bromodomain and PHD finger containing, 3 [Source:HGNC Symbol;Acc:14256]"
ENSG00000130725,59067079,59070327,-1,19,UBE2M,ubiquitin-conjugating enzyme E2M [Source:HGNC Symbol;Acc:12491]
ENSG00000143631,152274651,152297679,-1,1,FLG,filaggrin [Source:HGNC Symbol;Acc:3748]
ENSG00000162069,3077683,3086927,-1,16,CCDC64B,coiled-coil domain containing 64B [Source:HGNC Symbol;Acc:33584]
ENSG00000185532,52750945,54058110,1,10,PRKG1,"protein kinase, cGMP-dependent, type I [Source:HGNC Symbol;Acc:9414]"
ENSG00000181092,186560463,186576252,1,3,ADIPOQ,"adiponectin, C1Q and collagen domain containing [Source:HGNC Symbol;Acc:13633]"
ENSG00000165659,72012098,72441330,-1,13,DACH1,dachshund homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:2663]
ENSG00000063127,49792895,49828482,-1,19,SLC6A16,"solute carrier family 6, member 16 [Source:HGNC Symbol;Acc:13622]"
ENSG00000166452,8932686,8941631,1,11,AKIP1,A kinase (PRKA) interacting protein 1 [Source:HGNC Symbol;Acc:1170]
ENSG00000008056,47431303,47479252,-1,X,SYN1,synapsin I [Source:HGNC Symbol;Acc:11494]
ENSG00000173391,10310902,10324737,-1,12,OLR1,oxidized low density lipoprotein (lectin-like) receptor 1 [Source:HGNC Symbol;Acc:8133]
ENSG00000108264,35766965,35839835,1,17,TADA2A,transcriptional adaptor 2A [Source:HGNC Symbol;Acc:11531]
ENSG00000149716,69467844,69490184,-1,11,ORAOV1,oral cancer overexpressed 1 [Source:HGNC Symbol;Acc:17589]
ENSG00000148842,104678050,104849978,1,10,CNNM2,cyclin M2 [Source:HGNC Symbol;Acc:103]
ENSG00000152234,43664110,43684300,-1,18,ATP5A1,"ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle [Source:HGNC Symbol;Acc:823]"
ENSG00000196821,34555065,34664636,-1,6,C6orf106,chromosome 6 open reading frame 106 [Source:HGNC Symbol;Acc:21215]
ENSG00000075336,71815746,71826197,1,18,TIMM21,translocase of inner mitochondrial membrane 21 homolog (yeast) [Source:HGNC Symbol;Acc:25010]
ENSG00000204922,62437745,62441159,1,11,C11orf83,chromosome 11 open reading frame 83 [Source:HGNC Symbol;Acc:34399]
ENSG00000261611,71481503,71523214,-1,16,AC010547.9,Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:J3QLW9]
ENSG00000241360,38054734,38062941,1,22,PDXP,"pyridoxal (pyridoxine, vitamin B6) phosphatase [Source:HGNC Symbol;Acc:30259]"
ENSG00000155961,154487526,154493874,-1,X,RAB39B,"RAB39B, member RAS oncogene family [Source:HGNC Symbol;Acc:16499]"
ENSG00000234078,30893440,30912617,1,HSCHR6_MHC_MANN,DDR1,discoidin domain receptor tyrosine kinase 1 [Source:HGNC Symbol;Acc:2730]
ENSG00000143520,152321211,152332482,-1,1,FLG2,filaggrin family member 2 [Source:HGNC Symbol;Acc:33276]
ENSG00000008516,3096682,3110727,1,16,MMP25,matrix metallopeptidase 25 [Source:HGNC Symbol;Acc:14246]
ENSG00000155962,154505500,154563966,-1,X,CLIC2,chloride intracellular channel 2 [Source:HGNC Symbol;Acc:2063]
ENSG00000100097,38071615,38075813,1,22,LGALS1,"lectin, galactoside-binding, soluble, 1 [Source:HGNC Symbol;Acc:6561]"
ENSG00000158966,64936428,65158741,1,1,CACHD1,cache domain containing 1 [Source:HGNC Symbol;Acc:29314]
ENSG00000131475,40925454,40931617,1,17,VPS25,vacuolar protein sorting 25 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:28122]
ENSG00000196092,36833272,37034103,-1,9,PAX5,paired box 5 [Source:HGNC Symbol;Acc:8619]
ENSG00000102265,47441712,47446188,1,X,TIMP1,TIMP metallopeptidase inhibitor 1 [Source:HGNC Symbol;Acc:11820]
ENSG00000104361,99202061,99306621,-1,8,NIPAL2,NIPA-like domain containing 2 [Source:HGNC Symbol;Acc:25854]
ENSG00000143536,152381719,152386739,-1,1,CRNN,cornulin [Source:HGNC Symbol;Acc:1230]
ENSG00000114956,74153953,74186088,1,2,DGUOK,deoxyguanosine kinase [Source:HGNC Symbol;Acc:2858]
ENSG00000157429,71498453,71598992,-1,16,ZNF19,zinc finger protein 19 [Source:HGNC Symbol;Acc:12981]
ENSG00000160226,45748827,45759285,-1,21,C21orf2,chromosome 21 open reading frame 2 [Source:HGNC Symbol;Acc:1260]
ENSG00000148908,121259340,121302220,-1,10,RGS10,regulator of G-protein signaling 10 [Source:HGNC Symbol;Acc:9992]
ENSG00000162191,62443970,62446567,-1,11,UBXN1,UBX domain protein 1 [Source:HGNC Symbol;Acc:18402]
ENSG00000164096,120218207,120225600,-1,4,C4orf3,chromosome 4 open reading frame 3 [Source:HGNC Symbol;Acc:19225]
ENSG00000166347,71920530,71959251,-1,18,CYB5A,cytochrome b5 type A (microsomal) [Source:HGNC Symbol;Acc:2570]
ENSG00000244255,31895475,31919825,1,6,CFB,"Complement factor B; Uncharacterized protein; cDNA FLJ55673, highly similar to Complement factor B   [Source:UniProtKB/TrEMBL;Acc:B4E1Z4]"
ENSG00000186207,152483320,152484653,1,1,LCE5A,late cornified envelope 5A [Source:HGNC Symbol;Acc:16614]
ENSG00000198307,154610428,154610944,1,X,H2AFB2,"H2A histone family, member B2 [Source:HGNC Symbol;Acc:18298]"
ENSG00000204899,73282495,73301825,-1,13,MZT1,mitotic spindle organizing protein 1 [Source:HGNC Symbol;Acc:33830]
ENSG00000100101,38077680,38170137,1,22,NOL12,nucleolar protein 12 [Source:HGNC Symbol;Acc:28585]
ENSG00000198444,154611749,154613449,1,X,F8A2,coagulation factor VIII-associated 2 [Source:HGNC Symbol;Acc:31849]
ENSG00000110786,18749475,18814268,-1,11,PTPN5,"protein tyrosine phosphatase, non-receptor type 5 (striatum-enriched) [Source:HGNC Symbol;Acc:9657]"
ENSG00000115085,98330023,98356325,1,2,ZAP70,zeta-chain (TCR) associated protein kinase 70kDa [Source:HGNC Symbol;Acc:12858]
ENSG00000176029,8941623,8954553,-1,11,C11orf16,chromosome 11 open reading frame 16 [Source:HGNC Symbol;Acc:1169]
ENSG00000143786,224622362,224928251,1,1,CNIH3,cornichon family AMPA receptor auxiliary protein 3 [Source:HGNC Symbol;Acc:26802]
ENSG00000169509,152486978,152488486,1,1,CRCT1,cysteine-rich C-terminal 1 [Source:HGNC Symbol;Acc:29875]
ENSG00000185990,154686576,154688276,-1,X,F8A3,coagulation factor VIII-associated 3 [Source:HGNC Symbol;Acc:31850]
ENSG00000145384,120238405,120243545,-1,4,FABP2,"fatty acid binding protein 2, intestinal [Source:HGNC Symbol;Acc:3556]"
ENSG00000007237,9813926,10101868,-1,17,GAS7,growth arrest-specific 7 [Source:HGNC Symbol;Acc:4169]
ENSG00000185966,152538130,152539248,-1,1,LCE3E,late cornified envelope 3E [Source:HGNC Symbol;Acc:29463]
ENSG00000136122,73302061,73330336,1,13,BORA,"bora, aurora kinase A activator [Source:HGNC Symbol;Acc:24724]"
ENSG00000186716,23521891,23660224,1,22,BCR,breakpoint cluster region [Source:HGNC Symbol;Acc:1014]
ENSG00000185978,154689080,154689596,-1,X,H2AFB3,"H2A histone family, member B3 [Source:HGNC Symbol;Acc:14455]"
ENSG00000163202,152551857,152552980,-1,1,LCE3D,late cornified envelope 3D [Source:HGNC Symbol;Acc:16615]
ENSG00000126759,47483612,47489704,-1,X,CFP,complement factor properdin [Source:HGNC Symbol;Acc:8864]
ENSG00000109814,39500375,39529931,-1,4,UGDH,UDP-glucose 6-dehydrogenase [Source:HGNC Symbol;Acc:12525]
ENSG00000178397,6369040,6388612,-1,7,FAM220A,"family with sequence similarity 220, member A [Source:HGNC Symbol;Acc:22422]"
ENSG00000170608,46367247,46377055,1,19,FOXA3,forkhead box A3 [Source:HGNC Symbol;Acc:5023]
ENSG00000068078,1795034,1810599,1,4,FGFR3,fibroblast growth factor receptor 3 [Source:HGNC Symbol;Acc:3690]
ENSG00000244057,152573138,152573562,1,1,LCE3C,late cornified envelope 3C [Source:HGNC Symbol;Acc:16612]
ENSG00000170604,46386866,46389376,-1,19,IRF2BP1,interferon regulatory factor 2 binding protein 1 [Source:HGNC Symbol;Acc:21728]
ENSG00000149527,2357419,2436969,1,1,PLCH2,"phospholipase C, eta 2 [Source:HGNC Symbol;Acc:29037]"
ENSG00000166398,34745442,34846491,1,19,KIAA0355,KIAA0355 [Source:HGNC Symbol;Acc:29016]
ENSG00000104131,44829255,44855227,1,15,EIF3J,"eukaryotic translation initiation factor 3, subunit J [Source:HGNC Symbol;Acc:3270]"
ENSG00000104375,99413631,99955055,-1,8,STK3,serine/threonine kinase 3 [Source:HGNC Symbol;Acc:11406]
ENSG00000187238,152586287,152586574,1,1,LCE3B,late cornified envelope 3B [Source:HGNC Symbol;Acc:29462]
ENSG00000185973,154719776,154899605,-1,X,TMLHE,"trimethyllysine hydroxylase, epsilon [Source:HGNC Symbol;Acc:18308]"
ENSG00000176182,46393278,46405862,-1,19,MYPOP,"Myb-related transcription factor, partner of profilin [Source:HGNC Symbol;Acc:20178]"
ENSG00000166133,40861499,40866659,1,15,RPUSD2,RNA pseudouridylate synthase domain containing 2 [Source:HGNC Symbol;Acc:24180]
ENSG00000089280,31191431,31203127,1,16,FUS,fused in sarcoma [Source:HGNC Symbol;Acc:4010]
ENSG00000188425,46416475,46418036,-1,19,NANOS2,nanos homolog 2 (Drosophila) [Source:HGNC Symbol;Acc:23292]
ENSG00000082805,1099675,1605099,1,12,ERC1,ELKS/RAB6-interacting/CAST family member 1 [Source:HGNC Symbol;Acc:17072]
ENSG00000160325,136325089,136335970,1,9,CACFD1,calcium channel flower domain containing 1 [Source:HGNC Symbol;Acc:1365]
ENSG00000185962,152595310,152595579,-1,1,LCE3A,late cornified envelope 3A [Source:HGNC Symbol;Acc:29461]
ENSG00000164659,86506222,86689015,-1,7,KIAA1324L,KIAA1324-like [Source:HGNC Symbol;Acc:21945]
ENSG00000176927,28256218,28435470,1,17,EFCAB5,EF-hand calcium binding domain 5 [Source:HGNC Symbol;Acc:24801]
ENSG00000104967,46436992,46476804,-1,19,NOVA2,neuro-oncological ventral antigen 2 [Source:HGNC Symbol;Acc:7887]
ENSG00000187223,152635872,152637135,1,1,LCE2D,late cornified envelope 2D [Source:HGNC Symbol;Acc:16518]
ENSG00000162437,65210778,65298915,1,1,RAVER2,"ribonucleoprotein, PTB-binding 2 [Source:HGNC Symbol;Acc:25577]"
ENSG00000164307,96096521,96143803,-1,5,ERAP1,endoplasmic reticulum aminopeptidase 1 [Source:HGNC Symbol;Acc:18173]
ENSG00000126767,47494920,47510003,-1,X,ELK1,"ELK1, member of ETS oncogene family [Source:HGNC Symbol;Acc:3321]"
ENSG00000159455,152647771,152659877,1,1,LCE2B,late cornified envelope 2B [Source:HGNC Symbol;Acc:16610]
ENSG00000176009,8959119,8964580,-1,11,ASCL3,achaete-scute family bHLH transcription factor 3 [Source:HGNC Symbol;Acc:740]
ENSG00000042317,88851268,88936694,1,14,SPATA7,spermatogenesis associated 7 [Source:HGNC Symbol;Acc:20423]
ENSG00000099326,59073298,59084942,-1,19,MZF1,myeloid zinc finger 1 [Source:HGNC Symbol;Acc:13108]
